Day,Classroom,Time,Course,Code
Monday,F-204,4:30pm-6:00pm,Free slot,Free slot
Monday,F-204,6:00pm-7:30pm,Free slot,Free slot
Monday,F-204,7:30pm-9:00pm,Free slot,Free slot
Monday,F-205,8:30am-10:30am,Object Oriented Programming(BCS-2A),BCS-2A
Monday,F-205,10:30am-12:00pm,Free slot,Free slot
Monday,F-205,12:00pm-1:30pm,Free slot,Free slot
Monday,F-205,1:30pm-3:00pm,Free slot,Free slot
Monday,F-205,3:00pm-4:30pm,Free slot,Free slot
Monday,F-205,4:30pm-6:00pm,Free slot,Free slot
Monday,F-205,6:00pm-7:30pm,Free slot,Free slot
Monday,F-205,7:30pm-9:00pm,Free slot,Free slot
Monday,F-206,8:30am-10:30am,Object Oriented Programming(BDS-2A) ,BDS-2A
Monday,F-206,10:30am-12:00pm,Free slot,Free slot
Monday,F-206,12:00pm-1:30pm,Free slot,Free slot
Monday,F-206,1:30pm-3:00pm,Object Oriented Programming(BCS-2E),BCS-2E
Monday,F-206,3:00pm-4:30pm,Free slot,Free slot
Monday,F-206,4:30pm-6:00pm,Free slot,Free slot
Monday,F-206,6:00pm-7:30pm,Free slot,Free slot
Monday,F-206,7:30pm-9:00pm,Free slot,Free slot
Monday,F-207,8:30am-10:30am,Free slot,Free slot
Monday,F-207,10:30am-12:00pm,Multivariable Calculus(BDS-2B),BDS-2B
Monday,F-207,12:00pm-1:30pm,Free slot,Free slot
Monday,F-207,1:30pm-3:00pm,Multivariable Calculus(BCS-2A),BCS-2A
Monday,F-207,3:00pm-4:30pm,Free slot,Free slot
Monday,F-207,4:30pm-6:00pm,Free slot,Free slot
Monday,F-207,6:00pm-7:30pm,Free slot,Free slot
Monday,F-207,7:30pm-9:00pm,Free slot,Free slot
Monday,F-208,8:30am-10:30am,Free slot,Free slot
Monday,F-208,10:30am-12:00pm,Multivariable Calculus(BDS-2A),BDS-2A
Monday,F-208,12:00pm-1:30pm,Free slot,Free slot
Monday,F-208,1:30pm-3:00pm,Free slot,Free slot
Monday,F-208,3:00pm-4:30pm,Free slot,Free slot
Monday,F-208,4:30pm-6:00pm,Free slot,Free slot
Monday,F-208,6:00pm-7:30pm,Free slot,Free slot
Monday,F-208,7:30pm-9:00pm,Free slot,Free slot
Monday,F-209,8:30am-10:30am,Free slot,Free slot
Monday,F-209,10:30am-12:00pm,Operating System(BCS-4E),BCS-4E
Monday,F-209,12:00pm-1:30pm,Free slot,Free slot
Monday,F-209,1:30pm-3:00pm,Free slot,Free slot
Monday,F-209,3:00pm-4:30pm,Free slot,Free slot
Monday,F-209,4:30pm-6:00pm,Free slot,Free slot
Monday,F-209,6:00pm-7:30pm,Free slot,Free slot
Monday,F-209,7:30pm-9:00pm,Free slot,Free slot
Monday,F-210,8:30am-10:30am,Free slot,Free slot
Monday,F-210,10:30am-12:00pm,Free slot,Free slot
Monday,F-210,12:00pm-1:30pm,Object Oriented Programming(BDS-2B) ,BDS-2B
Monday,F-210,1:30pm-3:00pm,Digital Logic Design(BDS-2A),BDS-2A
Monday,F-210,3:00pm-4:30pm,Free slot,Free slot
Monday,F-210,4:30pm-6:00pm,Free slot,Free slot
Monday,F-210,6:00pm-7:30pm,Free slot,Free slot
Monday,F-210,7:30pm-9:00pm,Free slot,Free slot
Monday,F-301,8:30am-10:30am,Free slot,Free slot
Monday,F-301,10:30am-12:00pm,Free slot,Free slot
Monday,F-301,12:00pm-1:30pm,Free slot,Free slot
Monday,F-301,1:30pm-3:00pm,Free slot,Free slot
Monday,F-301,3:00pm-4:30pm,Multivariable Calculus(BCS-2E),BCS-2E
Monday,F-301,4:30pm-6:00pm,Free slot,Free slot
Monday,F-301,6:00pm-7:30pm,Free slot,Free slot
Monday,F-301,7:30pm-9:00pm,Free slot,Free slot
Monday,F-302,8:30am-10:30am,Free slot,Free slot
Monday,F-302,10:30am-12:00pm,Digital Logic Design(BDS-2C),BDS-2C
Monday,F-302,12:00pm-1:30pm,Free slot,Free slot
Monday,F-302,1:30pm-3:00pm,Free slot,Free slot
Monday,F-302,3:00pm-4:30pm,Probability and Stats(BCS-4E),BCS-4E
Monday,F-302,4:30pm-6:00pm,Free slot,Free slot
Monday,F-302,6:00pm-7:30pm,Free slot,Free slot
Monday,F-302,7:30pm-9:00pm,Free slot,Free slot
Monday,F-303,8:30am-10:30am,Digital Logic Design(BCS-2B),BCS-2B
Monday,F-303,10:30am-12:00pm,Free slot,Free slot
Monday,F-303,12:00pm-1:30pm,Free slot,Free slot
Monday,F-303,1:30pm-3:00pm,Free slot,Free slot
Monday,F-303,3:00pm-4:30pm,Free slot,Free slot
Monday,F-303,4:30pm-6:00pm,Free slot,Free slot
Monday,F-303,6:00pm-7:30pm,Free slot,Free slot
Monday,F-303,7:30pm-9:00pm,Free slot,Free slot
Monday,F-304,8:30am-10:30am,Free slot,Free slot
Monday,F-304,10:30am-12:00pm,Free slot,Free slot
Monday,F-304,12:00pm-1:30pm,Free slot,Free slot
Monday,F-304,1:30pm-3:00pm,Free slot,Free slot
Monday,F-304,3:00pm-4:30pm,Digital Logic Design(BCS-2A),BCS-2A
Monday,F-304,4:30pm-6:00pm,Free slot,Free slot
Monday,F-304,6:00pm-7:30pm,Free slot,Free slot
Monday,F-304,7:30pm-9:00pm,Free slot,Free slot
Monday,F-305,8:30am-10:30am,Object Oriented Programming(BCS-2C),BCS-2C
Monday,F-305,10:30am-12:00pm,Object Oriented Programming(BCS-2D),BCS-2D
Monday,F-305,12:00pm-1:30pm,Free slot,Free slot
Monday,F-305,1:30pm-3:00pm,Free slot,Free slot
Monday,F-305,3:00pm-4:30pm,Free slot,Free slot
Monday,F-305,4:30pm-6:00pm,Free slot,Free slot
Monday,F-305,6:00pm-7:30pm,Free slot,Free slot
Monday,F-305,7:30pm-9:00pm,Free slot,Free slot
Monday,F-306,8:30am-10:30am,Free slot,Free slot
Monday,F-306,10:30am-12:00pm,Digital Logic Design(BCS-2E),BCS-2E
Monday,F-306,12:00pm-1:30pm,Free slot,Free slot
Monday,F-306,1:30pm-3:00pm,Object Oriented Programming(BDS-2C),BDS-2C
Monday,F-306,3:00pm-4:30pm,Free slot,Free slot
Monday,F-306,4:30pm-6:00pm,Free slot,Free slot
Monday,F-306,6:00pm-7:30pm,Free slot,Free slot
Monday,F-306,7:30pm-9:00pm,Free slot,Free slot
Monday,F-307,8:30am-10:30am,Free slot,Free slot
Monday,F-307,10:30am-12:00pm,Free slot,Free slot
Monday,F-307,12:00pm-1:30pm,Free slot,Free slot
Monday,F-307,1:30pm-3:00pm,Multivariable Calculus(BCS-2B),BCS-2B
Monday,F-307,3:00pm-4:30pm,Free slot,Free slot
Monday,F-307,4:30pm-6:00pm,Free slot,Free slot
Monday,F-307,6:00pm-7:30pm,Free slot,Free slot
Monday,F-307,7:30pm-9:00pm,Free slot,Free slot
Monday,F-308,8:30am-10:30am,Free slot,Free slot
Monday,F-308,10:30am-12:00pm,Free slot,Free slot
Monday,F-308,12:00pm-1:30pm,Multivariable Calculus(BCS-2C),BCS-2C
Monday,F-308,1:30pm-3:00pm,Multivariable Calculus(BCS-2D),BCS-2D
Monday,F-308,3:00pm-4:30pm,Free slot,Free slot
Monday,F-308,4:30pm-6:00pm,Free slot,Free slot
Monday,F-308,6:00pm-7:30pm,Free slot,Free slot
Monday,F-308,7:30pm-9:00pm,Free slot,Free slot
Monday,F-309,8:30am-10:30am,Digital Logic Design(BCS-2D),BCS-2D
Monday,F-309,10:30am-12:00pm,Free slot,Free slot
Monday,F-309,12:00pm-1:30pm,Object Oriented Programming(BCS-2B),BCS-2B
Monday,F-309,1:30pm-3:00pm,Free slot,Free slot
Monday,F-309,3:00pm-4:30pm,Free slot,Free slot
Monday,F-309,4:30pm-6:00pm,Free slot,Free slot
Monday,F-309,6:00pm-7:30pm,Free slot,Free slot
Monday,F-309,7:30pm-9:00pm,Free slot,Free slot
Monday,F-310,8:30am-10:30am,Free slot,Free slot
Monday,F-310,10:30am-12:00pm,Free slot,Free slot
Monday,F-310,12:00pm-1:30pm,Free slot,Free slot
Monday,F-310,1:30pm-3:00pm,Free slot,Free slot
Monday,F-310,3:00pm-4:30pm,Digital Logic Design(BCS-2C),BCS-2C
Monday,F-310,4:30pm-6:00pm,Free slot,Free slot
Monday,F-310,6:00pm-7:30pm,Free slot,Free slot
Monday,F-310,7:30pm-9:00pm,Free slot,Free slot
Monday,C-1,8:30am-10:30am,Free slot,Free slot
Monday,C-1,10:30am-12:00pm,Free slot,Free slot
Monday,C-1,12:00pm-1:30pm,Free slot,Free slot
Monday,C-1,1:30pm-3:00pm,Free slot,Free slot
Monday,C-1,3:00pm-4:30pm,Free slot,Free slot
Monday,C-1,4:30pm-6:00pm,Free slot,Free slot
Monday,C-1,6:00pm-7:30pm,Free slot,Free slot
Monday,C-1,7:30pm-9:00pm,Free slot,Free slot
Monday,C-2,8:30am-10:30am,Free slot,Free slot
Monday,C-2,10:30am-12:00pm,Free slot,Free slot
Monday,C-2,12:00pm-1:30pm,Free slot,Free slot
Monday,C-2,1:30pm-3:00pm,Free slot,Free slot
Monday,C-2,3:00pm-4:30pm,Free slot,Free slot
Monday,C-2,4:30pm-6:00pm,Free slot,Free slot
Monday,C-2,6:00pm-7:30pm,Free slot,Free slot
Monday,C-2,7:30pm-9:00pm,Free slot,Free slot
Monday,C-3,8:30am-10:30am,Free slot,Free slot
Monday,C-3,10:30am-12:00pm,Free slot,Free slot
Monday,C-3,12:00pm-1:30pm,Free slot,Free slot
Monday,C-3,1:30pm-3:00pm,Free slot,Free slot
Monday,C-3,3:00pm-4:30pm,Free slot,Free slot
Monday,C-3,4:30pm-6:00pm,Free slot,Free slot
Monday,C-3,6:00pm-7:30pm,Free slot,Free slot
Monday,C-3,7:30pm-9:00pm,Free slot,Free slot
Monday,C-4,8:30am-10:30am,Free slot,Free slot
Monday,C-4,10:30am-12:00pm,Free slot,Free slot
Monday,C-4,12:00pm-1:30pm,Free slot,Free slot
Monday,C-4,1:30pm-3:00pm,Free slot,Free slot
Monday,C-4,3:00pm-4:30pm,Free slot,Free slot
Monday,C-4,4:30pm-6:00pm,Free slot,Free slot
Monday,C-4,6:00pm-7:30pm,Free slot,Free slot
Monday,C-4,7:30pm-9:00pm,Free slot,Free slot
Monday,C-5,8:30am-10:30am,Free slot,Free slot
Monday,C-5,10:30am-12:00pm,Free slot,Free slot
Monday,C-5,12:00pm-1:30pm,Free slot,Free slot
Monday,C-5,1:30pm-3:00pm,Free slot,Free slot
Monday,C-5,3:00pm-4:30pm,Expository Writing(BDS-2B),BDS-2B
Monday,C-5,4:30pm-6:00pm,Free slot,Free slot
Monday,C-5,6:00pm-7:30pm,Free slot,Free slot
Monday,C-5,7:30pm-9:00pm,Free slot,Free slot
Monday,C-6,8:30am-10:30am,Free slot,Free slot
Monday,C-6,10:30am-12:00pm,Free slot,Free slot
Monday,C-6,12:00pm-1:30pm,Free slot,Free slot
Monday,C-6,1:30pm-3:00pm,Free slot,Free slot
Monday,C-6,3:00pm-4:30pm,Free slot,Free slot
Monday,C-6,4:30pm-6:00pm,Free slot,Free slot
Monday,C-6,6:00pm-7:30pm,Free slot,Free slot
Monday,C-6,7:30pm-9:00pm,Free slot,Free slot
Monday,C-7,8:30am-10:30am,Free slot,Free slot
Monday,C-7,10:30am-12:00pm,Free slot,Free slot
Monday,C-7,12:00pm-1:30pm,Free slot,Free slot
Monday,C-7,1:30pm-3:00pm,Free slot,Free slot
Monday,C-7,3:00pm-4:30pm,Expository Writing(BDS-2C),BDS-2C
Monday,C-7,4:30pm-6:00pm,Free slot,Free slot
Monday,C-7,6:00pm-7:30pm,Free slot,Free slot
Monday,C-7,7:30pm-9:00pm,Free slot,Free slot
Monday,C-13,8:30am-10:30am,Free slot,Free slot
Monday,C-13,10:30am-12:00pm,Free slot,Free slot
Monday,C-13,12:00pm-1:30pm,Free slot,Free slot
Monday,C-13,1:30pm-3:00pm,Free slot,Free slot
Monday,C-13,3:00pm-4:30pm,Free slot,Free slot
Monday,C-13,4:30pm-6:00pm,Free slot,Free slot
Monday,C-13,6:00pm-7:30pm,Free slot,Free slot
Monday,C-13,7:30pm-9:00pm,Free slot,Free slot
Monday,C-14,8:30am-10:30am,Free slot,Free slot
Monday,C-14,10:30am-12:00pm,Free slot,Free slot
Monday,C-14,12:00pm-1:30pm,Free slot,Free slot
Monday,C-14,1:30pm-3:00pm,Free slot,Free slot
Monday,C-14,3:00pm-4:30pm,Free slot,Free slot
Monday,C-14,4:30pm-6:00pm,Free slot,Free slot
Monday,C-14,6:00pm-7:30pm,Free slot,Free slot
Monday,C-14,7:30pm-9:00pm,Free slot,Free slot
Monday,D-1,8:30am-10:30am,Free slot,Free slot
Monday,D-1,10:30am-12:00pm,Free slot,Free slot
Monday,D-1,12:00pm-1:30pm,Free slot,Free slot
Monday,D-1,1:30pm-3:00pm,Free slot,Free slot
Monday,D-1,3:00pm-4:30pm,Free slot,Free slot
Monday,D-1,4:30pm-6:00pm,Free slot,Free slot
Monday,D-1,6:00pm-7:30pm,Free slot,Free slot
Monday,D-1,7:30pm-9:00pm,Free slot,Free slot
Monday,D-2,8:30am-10:30am,Free slot,Free slot
Monday,D-2,10:30am-12:00pm,Free slot,Free slot
Monday,D-2,12:00pm-1:30pm,Free slot,Free slot
Monday,D-2,1:30pm-3:00pm,Free slot,Free slot
Monday,D-2,3:00pm-4:30pm,Free slot,Free slot
Monday,D-2,4:30pm-6:00pm,Free slot,Free slot
Monday,D-2,6:00pm-7:30pm,Free slot,Free slot
Monday,D-2,7:30pm-9:00pm,Free slot,Free slot
Monday,English Lab-1,8:30am-10:30am,Free slot,Free slot
Monday,English Lab-1,10:30am-12:00pm,Free slot,Free slot
Monday,English Lab-1,12:00pm-1:30pm,Free slot,Free slot
Monday,English Lab-1,1:30pm-3:00pm,Technical and Business Writing(BCS-4C),BCS-4C
Monday,English Lab-1,3:00pm-4:30pm,Free slot,Free slot
Monday,English Lab-1,4:30pm-6:00pm,Free slot,Free slot
Monday,English Lab-1,6:00pm-7:30pm,Free slot,Free slot
Monday,English Lab-1,7:30pm-9:00pm,Free slot,Free slot
Monday,English Lab-2,8:30am-10:30am,Free slot,Free slot
Monday,English Lab-2,10:30am-12:00pm,Free slot,Free slot
Monday,English Lab-2,12:00pm-1:30pm,Free slot,Free slot
Monday,English Lab-2,1:30pm-3:00pm,Free slot,Free slot
Monday,English Lab-2,3:00pm-4:30pm,Free slot,Free slot
Monday,English Lab-2,4:30pm-6:00pm,Free slot,Free slot
Monday,English Lab-2,6:00pm-7:30pm,Free slot,Free slot
Monday,English Lab-2,7:30pm-9:00pm,Free slot,Free slot
Monday,English Lab-3,8:30am-10:30am,Free slot,Free slot
Monday,English Lab-3,10:30am-12:00pm,Free slot,Free slot
Monday,English Lab-3,12:00pm-1:30pm,Free slot,Free slot
Monday,English Lab-3,1:30pm-3:00pm,Free slot,Free slot
Monday,English Lab-3,3:00pm-4:30pm,Free slot,Free slot
Monday,English Lab-3,4:30pm-6:00pm,Free slot,Free slot
Monday,English Lab-3,6:00pm-7:30pm,Free slot,Free slot
Monday,English Lab-3,7:30pm-9:00pm,Free slot,Free slot
Monday,English Lab-4,8:30am-10:30am,Free slot,Free slot
Monday,English Lab-4,10:30am-12:00pm,Free slot,Free slot
Monday,English Lab-4,12:00pm-1:30pm,Free slot,Free slot
Monday,English Lab-4,1:30pm-3:00pm,Free slot,Free slot
Monday,English Lab-4,3:00pm-4:30pm,Free slot,Free slot
Monday,English Lab-4,4:30pm-6:00pm,Free slot,Free slot
Monday,English Lab-4,6:00pm-7:30pm,Free slot,Free slot
Monday,English Lab-4,7:30pm-9:00pm,Free slot,Free slot
Monday,English Lab-5,8:30am-10:30am,Free slot,Free slot
Monday,English Lab-5,10:30am-12:00pm,Free slot,Free slot
Monday,English Lab-5,12:00pm-1:30pm,Free slot,Free slot
Monday,English Lab-5,1:30pm-3:00pm,Free slot,Free slot
Monday,English Lab-5,3:00pm-4:30pm,Free slot,Free slot
Monday,English Lab-5,4:30pm-6:00pm,Free slot,Free slot
Monday,English Lab-5,6:00pm-7:30pm,Free slot,Free slot
Monday,English Lab-5,7:30pm-9:00pm,Free slot,Free slot
Monday,English Lab-6,8:30am-10:30am,Free slot,Free slot
Monday,English Lab-6,10:30am-12:00pm,Free slot,Free slot
Monday,English Lab-6,12:00pm-1:30pm,Free slot,Free slot
Monday,English Lab-6,1:30pm-3:00pm,Free slot,Free slot
Monday,English Lab-6,3:00pm-4:30pm,Free slot,Free slot
Monday,English Lab-6,4:30pm-6:00pm,Free slot,Free slot
Monday,English Lab-6,6:00pm-7:30pm,Free slot,Free slot
Monday,English Lab-6,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-1,8:30am-10:30am,Free slot,Free slot
Monday,Lab-1,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-1,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-1,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-1,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-1,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-1,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-1,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-2,8:30am-10:30am,Free slot,Free slot
Monday,Lab-2,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-2,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-2,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-2,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-2,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-2,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-2,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-3,8:30am-10:30am,Free slot,Free slot
Monday,Lab-3,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-3,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-3,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-3,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-3,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-3,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-3,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-4,8:30am-10:30am,Free slot,Free slot
Monday,Lab-4,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-4,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-4,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-4,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-4,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-4,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-4,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-5,8:30am-10:30am,Free slot,Free slot
Monday,Lab-5,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-5,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-5,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-5,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-5,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-5,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-5,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-6,8:30am-10:30am,Free slot,Free slot
Monday,Lab-6,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-6,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-6,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-6,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-6,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-6,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-6,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-8,8:30am-10:30am,Free slot,Free slot
Monday,Lab-8,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-8,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-8,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-8,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-8,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-8,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-8,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-13,8:30am-10:30am,Free slot,Free slot
Monday,Lab-13,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-13,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-13,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-13,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-13,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-13,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-13,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-14,8:30am-10:30am,Free slot,Free slot
Monday,Lab-14,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-14,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-14,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-14,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-14,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-14,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-14,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-15,8:30am-10:30am,Free slot,Free slot
Monday,Lab-15,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-15,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-15,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-15,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-15,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-15,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-15,7:30pm-9:00pm,Free slot,Free slot
Monday,Lab-16,8:30am-10:30am,Free slot,Free slot
Monday,Lab-16,10:30am-12:00pm,Free slot,Free slot
Monday,Lab-16,12:00pm-1:30pm,Free slot,Free slot
Monday,Lab-16,1:30pm-3:00pm,Free slot,Free slot
Monday,Lab-16,3:00pm-4:30pm,Free slot,Free slot
Monday,Lab-16,4:30pm-6:00pm,Free slot,Free slot
Monday,Lab-16,6:00pm-7:30pm,Free slot,Free slot
Monday,Lab-16,7:30pm-9:00pm,Free slot,Free slot
Monday,Micro Lab,8:30am-10:30am,Free slot,Free slot
Monday,Micro Lab,10:30am-12:00pm,Free slot,Free slot
Monday,Micro Lab,12:00pm-1:30pm,Free slot,Free slot
Monday,Micro Lab,1:30pm-3:00pm,Free slot,Free slot
Monday,Micro Lab,3:00pm-4:30pm,Free slot,Free slot
Monday,Micro Lab,4:30pm-6:00pm,Free slot,Free slot
Monday,Micro Lab,6:00pm-7:30pm,Free slot,Free slot
Monday,Micro Lab,7:30pm-9:00pm,Free slot,Free slot
Monday,Physics Lab,8:30am-10:30am,Free slot,Free slot
Monday,Physics Lab,10:30am-12:00pm,Free slot,Free slot
Monday,Physics Lab,12:00pm-1:30pm,Free slot,Free slot
Monday,Physics Lab,1:30pm-3:00pm,Free slot,Free slot
Monday,Physics Lab,3:00pm-4:30pm,Free slot,Free slot
Monday,Physics Lab,4:30pm-6:00pm,Free slot,Free slot
Monday,Physics Lab,6:00pm-7:30pm,Free slot,Free slot
Monday,Physics Lab,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-201,10:30am-12:00pm,Advance Stats(BDS-4A),BDS-4A
Tuesday,F-201,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-201,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-201,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-201,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-201,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-201,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-202,8:30am-10:30am,Civics(BDS-4B),BDS-4B
Tuesday,F-202,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-202,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-202,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-202,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-202,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-202,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-202,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-203,8:30am-10:30am,Psycology(BCS-4B),BCS-4B
Tuesday,F-203,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-203,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-203,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-203,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-203,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-203,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-203,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-204,8:30am-10:30am,Free slot,Free slot
Tuesday,F-204,10:30am-12:00pm,Probability and Stats(BDS-4B),BDS-4B
Tuesday,F-204,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-204,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-204,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-204,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-204,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-204,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-205,8:30am-10:30am,Free slot,Free slot
Tuesday,F-205,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-205,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-205,1:30pm-3:00pm,Free slot,Free slot
